xSingle,ySingle,xMarried,yMarried
136.8366944,1.04E-08,150.0641329,9.08E-09
152.7140458,4.11E-08,165.8994983,4.23E-08
168.5913973,1.30E-07,181.7348638,1.44E-07
184.4687488,3.31E-07,197.5702292,3.67E-07
200.3461003,6.89E-07,213.4055946,7.17E-07
216.2234518,1.19E-06,229.2409601,1.12E-06
232.1008033,1.73E-06,245.0763255,1.47E-06
247.9781548,2.19E-06,260.9116909,1.75E-06
263.8555063,2.50E-06,276.7470564,1.97E-06
279.7328578,2.74E-06,292.5824218,2.17E-06
295.6102093,3.00E-06,308.4177872,2.38E-06
311.4875607,3.29E-06,324.2531526,2.60E-06
327.3649122,3.57E-06,340.0885181,2.77E-06
343.2422637,3.80E-06,355.9238835,2.86E-06
359.1196152,4.00E-06,371.7592489,2.93E-06
374.9969667,4.25E-06,387.5946144,3.06E-06
390.8743182,4.61E-06,403.4299798,3.26E-06
406.7516697,5.09E-06,419.2653452,3.50E-06
422.6290212,5.58E-06,435.1007106,3.79E-06
438.5063727,6.03E-06,450.9360761,4.13E-06
454.3837242,6.45E-06,466.7714415,4.48E-06
470.2610756,6.93E-06,482.6068069,4.83E-06
486.1384271,7.50E-06,498.4421724,5.14E-06
502.0157786,8.10E-06,514.2775378,5.37E-06
517.8931301,8.64E-06,530.1129032,5.54E-06
533.7704816,9.06E-06,545.9482686,5.68E-06
549.6478331,9.40E-06,561.7836341,5.83E-06
565.5251846,9.71E-06,577.6189995,6.03E-06
581.4025361,1.00E-05,593.4543649,6.22E-06
597.2798876,1.03E-05,609.2897304,6.37E-06
613.1572391,1.05E-05,625.1250958,6.45E-06
629.0345905,1.07E-05,640.9604612,6.49E-06
644.911942,1.07E-05,656.7958266,6.58E-06
660.7892935,1.07E-05,672.6311921,6.76E-06
676.666645,1.07E-05,688.4665575,6.99E-06
692.5439965,1.08E-05,704.3019229,7.15E-06
708.421348,1.10E-05,720.1372884,7.19E-06
724.2986995,1.13E-05,735.9726538,7.11E-06
740.176051,1.15E-05,751.8080192,7.04E-06
756.0534025,1.15E-05,767.6433846,7.07E-06
771.9307539,1.15E-05,783.4787501,7.18E-06
787.8081054,1.16E-05,799.3141155,7.28E-06
803.6854569,1.18E-05,815.1494809,7.32E-06
819.5628084,1.19E-05,830.9848464,7.34E-06
835.4401599,1.20E-05,846.8202118,7.36E-06
851.3175114,1.21E-05,862.6555772,7.36E-06
867.1948629,1.21E-05,878.4909426,7.31E-06
883.0722144,1.21E-05,894.3263081,7.24E-06
898.9495659,1.21E-05,910.1616735,7.21E-06
914.8269174,1.21E-05,925.9970389,7.28E-06
930.7042688,1.24E-05,941.8324044,7.57E-06
946.5816203,1.28E-05,957.6677698,8.07E-06
962.4589718,1.32E-05,973.5031352,8.60E-06
978.3363233,1.34E-05,989.3385007,8.98E-06
994.2136748,1.34E-05,1005.173866,9.11E-06
1010.091026,1.35E-05,1021.009232,9.06E-06
1025.968378,1.36E-05,1036.844597,8.97E-06
1041.845729,1.38E-05,1052.679962,8.96E-06
1057.723081,1.41E-05,1068.515328,9.04E-06
1073.600432,1.45E-05,1084.350693,9.21E-06
1089.477784,1.47E-05,1100.186059,9.52E-06
1105.355135,1.49E-05,1116.021424,9.98E-06
1121.232487,1.50E-05,1131.85679,1.04E-05
1137.109838,1.51E-05,1147.692155,1.07E-05
1152.98719,1.52E-05,1163.52752,1.07E-05
1168.864541,1.53E-05,1179.362886,1.05E-05
1184.741893,1.55E-05,1195.198251,1.05E-05
1200.619244,1.57E-05,1211.033617,1.06E-05
1216.496596,1.57E-05,1226.868982,1.07E-05
1232.373947,1.57E-05,1242.704348,1.10E-05
1248.251299,1.56E-05,1258.539713,1.12E-05
1264.12865,1.57E-05,1274.375078,1.14E-05
1280.006002,1.59E-05,1290.210444,1.18E-05
1295.883353,1.64E-05,1306.045809,1.21E-05
1311.760705,1.68E-05,1321.881175,1.24E-05
1327.638056,1.72E-05,1337.71654,1.26E-05
1343.515408,1.75E-05,1353.551906,1.27E-05
1359.392759,1.78E-05,1369.387271,1.30E-05
1375.270111,1.81E-05,1385.222636,1.34E-05
1391.147462,1.83E-05,1401.058002,1.37E-05
1407.024814,1.85E-05,1416.893367,1.40E-05
1422.902165,1.87E-05,1432.728733,1.42E-05
1438.779517,1.91E-05,1448.564098,1.46E-05
1454.656868,1.96E-05,1464.399464,1.50E-05
1470.534219,2.02E-05,1480.234829,1.55E-05
1486.411571,2.09E-05,1496.070194,1.59E-05
1502.288922,2.14E-05,1511.90556,1.64E-05
1518.166274,2.19E-05,1527.740925,1.69E-05
1534.043625,2.22E-05,1543.576291,1.74E-05
